company,date,payment_type,study,PI,payment
Pfizer Inc.,2017-10-23,Cash or cash equivalent,SPRITES  SERTRALINE PEDIATRIC REGISTRY FOR THE EVALUATION OF SAFETY A NONINTERVENTIONAL LONGITUDINAL COHORT STUDY TO EVALUATE THE EFFECTS OF LONGTERM SERTRALINE TREATMENT IN CHILDREN AND ADOLESCENTS,81927,625
Phadia AB,2017-10-23,In-kind items and services,Idiopathic Anaphylaxis and Alpha Gal,210401,15.62
"Zimmer Biomet Holdings, Inc.",2017-10-25,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,8437.5
Novocure Inc.,2017-10-26,Cash or cash equivalent,"EF-25 Pivotal, open-label, randomized study of radiosurgery with or without Tumor Treating Fields (TTFields) for 1-10 brain metastases from non-small cell lung cancer (NSCLC)",92911,13125
Novo Nordisk AS,2017-10-26,Cash or cash equivalent,NN2211-3659,684755,3437.5
SANOFI US SERVICES INC.,2017-10-26,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,19.54
Edwards Lifesciences Corporation,2017-10-27,Cash or cash equivalent,PARTNER3 2015-08,213301,12592.15
Orthofix International N.V.,2017-10-27,Cash or cash equivalent,CP-1703CSPM,31776,6250
"Regeneron Pharmaceuticals, Inc.",2017-10-27,Cash or cash equivalent,Alirocumab and Plaque Regression in Peripheral Arterial Disease,1061444,7e3
"TESARO, Inc.",2017-10-31,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,11800
"TESARO, Inc.",2017-10-31,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,8320
"TESARO, Inc.",2017-10-31,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,8320
"TESARO, Inc.",2017-10-31,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,11800
Abbott Laboratories,2017-11-01,Cash or cash equivalent,SCORE,25612,578.13
Allergan Inc.,2017-11-02,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,300
Allergan Inc.,2017-11-02,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,1e4
"W. L. Gore & Associates, Inc.",2017-11-03,Cash or cash equivalent,GORE Septal Occluder Clinical Study: A Study to evaluate safety and efficacy in the treatment of transcatheter closure of ostium secundum atrial septal defects (ASDs),217198,6750
"W. L. Gore & Associates, Inc.",2017-11-03,Cash or cash equivalent,GORE Septal Occluder Clinical Study: A Study to evaluate safety and efficacy in the treatment of transcatheter closure of ostium secundum atrial septal defects (ASDs),217198,6e3
Boston Scientific Corporation,2017-11-06,Cash or cash equivalent,ZERO AF,281489,84.36
Boston Scientific Corporation,2017-11-06,Cash or cash equivalent,CAP2,217198,562.5
"Genentech, Inc.",2017-11-06,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,3837.5
NOVARTIS PHARMACEUTICALS CORPORATION,2017-11-06,Cash or cash equivalent,A SINGLE ARM OPEN LABEL MULTICENTER STUDY EVALUATING THE LONG TERM SAFETY AND TOLERABILITY OF HALF OF A MG FINGOLIMOD FTY720 ADMINISTERED ORALLY ONCE DAILY IN PATIENTS WITH RELAPSING FORMS OF MULTIPLE SCLEROSIS,74842,925
"Zimmer Biomet Holdings, Inc.",2017-11-07,Cash or cash equivalent,Efficacy of the BioWick SureLock Implant for the Reattachment of Soft Tissue to Bone in Subjects Undergoing Rotator Cuff Repairs,1338423,4e3
Edwards Lifesciences Corporation,2017-11-08,Cash or cash equivalent,COMPASSION S3 2015-01,217198,6500
"Roche Diagnostics Operations, Inc.",2017-11-09,Cash or cash equivalent,RD003141,408254,5587.5
"TESARO, Inc.",2017-11-09,Cash or cash equivalent,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,6679.8
Allergan Inc.,2017-11-14,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,2622
"E.R. Squibb & Sons, L.L.C.",2017-11-14,Cash or cash equivalent,A Study to Evaluate the Safety of Nivolumab and Ipilimumab in Subjects With Previously Untreated Advanced or Metastatic Renal Cell Cancer CHECKMATE 920,956611,27915
"Genentech, Inc.",2017-11-14,Cash or cash equivalent,A MULTICENTER OPEN LABEL EXTENSION STUDY TO EVALUATE THE LONG TERM SAFETY OF LAMPALIZUMAB,19168,2300
"NEUROPACE, INC.",2017-11-14,Cash or cash equivalent,RNS System Long-term Treatment Clinical Investigation,164924,50
"NEUROPACE, INC.",2017-11-14,Cash or cash equivalent,RNS System Long-term Treatment Clinical Investigation,164924,50
"TESARO, Inc.",2017-11-14,Cash or cash equivalent,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,2320
Merck Sharp & Dohme Corporation,2017-11-15,In-kind items and services,"A Multicenter, Randomized, Controlled, Three-Arm, Phase III Study to Evaluate the Safety and Efficacy of Two Dosing Schedules of MK-3475 Compared to Ipilimumab in Patients with Advanced Melanoma",472725,17.86
Cook Research Incorporated,2017-11-16,Cash or cash equivalent,Zenith Transection,300280,425
Cook Research Incorporated,2017-11-16,Cash or cash equivalent,Zenith Dissection Endovascular System pivotal stud,312047,250
Edwards Lifesciences Corporation,2017-11-17,Cash or cash equivalent,PARTNERII 2010-12,123007,20550
"Janssen Research & Development, LLC",2017-11-17,Cash or cash equivalent,A Study of Intranasal Esketamine Plus an Oral Antidepressant for Relapse Prevention in Adult Participants With Treatment-resistant Depression,322890,9473
Pfizer Inc.,2017-11-17,In-kind items and services,NA,257796,12500
Allergan Inc.,2017-11-21,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,300
Allergan Inc.,2017-11-21,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,300
Allergan Inc.,2017-11-21,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,300
Allergan Inc.,2017-11-21,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,300
"TESARO, Inc.",2017-11-21,Cash or cash equivalent,"A PHASE 1 DOSE ESCALATION AND COHORT EXPANSION STUDY OF TSR-042, AN ANTI-PD-1 MONOCLONAL ANTIBODY, IN PATIENTS WITH ADVANCED SOLID TUMORS",945020,5737.5
SANOFI US SERVICES INC.,2017-11-22,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,700
"E.R. Squibb & Sons, L.L.C.",2017-11-30,Cash or cash equivalent,Phase III Nivo ipi vs Nivo in Stage IIIb c or IV Adjuvant Melanoma,812566,35512.05
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,93.6
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,81.04
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,140.64
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,11.36
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,77.52
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,229.2
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,17.04
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,263.56
Incyte Corporation,2017-11-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,481.2
"Janssen Research & Development, LLC",2017-11-30,Cash or cash equivalent,An Open-label Long-term Extension Safety Study of Intranasal Esketamine in Treatment-resistant Depression,322890,5e3
Edwards Lifesciences Corporation,2017-12-01,Cash or cash equivalent,PARTNER3 2015-08,213301,17198.41
"Roche Diagnostics Operations, Inc.",2017-12-01,In-kind items and services,RD003141,408254,5462.01
"AbbVie, Inc.",2017-12-04,In-kind items and services,A14-464,631489,28389.9
Boston Scientific Corporation,2017-12-04,Cash or cash equivalent,S ICD PAS,187930,365
Boston Scientific Corporation,2017-12-04,Cash or cash equivalent,ASAP TOO,217198,2520.94
Pacira Pharmaceuticals Incorporated,2017-12-04,Cash or cash equivalent,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY OF EXPAREL FOR POSTSURGICAL PAIN MANAGEMENT IN SUBJECTS UNDERGOING OPEN LUMBAR SPINAL FUSION SURGERY",838313,16467.7
Allergan Inc.,2017-12-05,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,300
"Medical Device Business Services, Inc.",2017-12-05,Cash or cash equivalent,A Pivotal Study Comparing Two Injections of MONOVISC to Two Injections of Saline in Patients with Osteoarthritis of the Hip,250357,4990
"TESARO, Inc.",2017-12-05,Cash or cash equivalent,"A PHASE 1 DOSE ESCALATION AND COHORT EXPANSION STUDY OF TSR-042, AN ANTI-PD-1 MONOCLONAL ANTIBODY, IN PATIENTS WITH ADVANCED SOLID TUMORS",945020,5922
"PTC Therapeutics, Inc.",2017-12-06,Cash or cash equivalent,"Phase 2 Muliticenter Randomized, Double-Masked Placebo-controlled study of the safety and efficacy of Ataluren for the treatment of Nonsense Mutations of Aniridia (STAR)",350117,17403.75
"Medical Device Business Services, Inc.",2017-12-08,Cash or cash equivalent,A Pivotal Study Comparing Two Injections of MONOVISC to Two Injections of Saline in Patients with Osteoarthritis of the Hip,250357,2510
"Janssen Research & Development, LLC",2017-12-11,Cash or cash equivalent,The Rector and Visitors of the University of Virginia Neurosciences - General,NA,125e3
"MicroVention, Inc.",2017-12-11,Cash or cash equivalent,HEAT,355275,693
Corindus Inc.,2017-12-12,Cash or cash equivalent,Precision GRX Registry,601536,7e3
ONY Biotech Inc.,2017-12-12,Cash or cash equivalent,AERO-02,408254,14400
"W. L. Gore & Associates, Inc.",2017-12-12,Cash or cash equivalent,GORE HELEX  Septal Occluder / GORE  Septal Occluder and Antiplatelet Medical Management for Reduction of Recurrent Stroke or Imaging-Confirmed TIA in Patients with Patent Foramen Ovale (PFO),220413,562.5
"Aziyo Biologics, Inc.",2017-12-13,Cash or cash equivalent,Perform,312047,1524
Cook Research Incorporated,2017-12-13,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,300280,200
Edwards Lifesciences Corporation,2017-12-13,Cash or cash equivalent,COMPASSION S3 2015-01,217198,48456.2
"Intercept Pharmaceuticals, Inc.",2017-12-15,Cash or cash equivalent,303,62826,1041.6
"Intercept Pharmaceuticals, Inc.",2017-12-15,Cash or cash equivalent,303,62826,2747.7
Pfizer Inc.,2017-12-15,Cash or cash equivalent,SPRITES  SERTRALINE PEDIATRIC REGISTRY FOR THE EVALUATION OF SAFETY A NONINTERVENTIONAL LONGITUDINAL COHORT STUDY TO EVALUATE THE EFFECTS OF LONGTERM SERTRALINE TREATMENT IN CHILDREN AND ADOLESCENTS,81927,510
Boston Scientific Corporation,2017-12-18,Cash or cash equivalent,S ICD PAS,187930,625
"Genentech, Inc.",2017-12-18,Cash or cash equivalent,ATEZOLIZUMAB IN MUSCLE INVASIVE BLADDER CANCER MIBC,266016,15
"Ceterix Orthopaedics, Inc.",2017-12-19,Cash or cash equivalent,Comparative Study of the Ceterix Suture Pattern vs. the FastFix 360 for Meniscus Tears,955960,1331.25
"Genentech, Inc.",2017-12-19,Cash or cash equivalent,POC FOR RO6867461 IN DME,250079,1443
"TESARO, Inc.",2017-12-19,Cash or cash equivalent,"A PHASE 1 DOSE ESCALATION AND COHORT EXPANSION STUDY OF TSR-042, AN ANTI-PD-1 MONOCLONAL ANTIBODY, IN PATIENTS WITH ADVANCED SOLID TUMORS",945020,5085.9
Cook Research Incorporated,2017-12-20,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,2032
Cook Research Incorporated,2017-12-20,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,2022.24
SANOFI US SERVICES INC.,2017-12-20,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,2250
"Medical Device Business Services, Inc.",2017-12-21,Cash or cash equivalent,A Pivotal Study Comparing Two Injections of MONOVISC to Two Injections of Saline in Patients with Osteoarthritis of the Hip,250357,1175
"TESARO, Inc.",2017-12-21,Cash or cash equivalent,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,2480
"AbbVie, Inc.",2017-12-22,Cash or cash equivalent,M13-740,594186,1784.5
Sunovion Pharmaceuticals Inc.,2017-12-22,In-kind items and services,PEDIATRIC OPEN-LABEL EXTENSION STUDY,81927,6.36
Sunovion Pharmaceuticals Inc.,2017-12-22,In-kind items and services,PEDIATRIC OPEN-LABEL EXTENSION STUDY,81927,0.43
Sunovion Pharmaceuticals Inc.,2017-12-22,In-kind items and services,PEDIATRIC OPEN-LABEL EXTENSION STUDY,81927,6.36
Sunovion Pharmaceuticals Inc.,2017-12-22,Cash or cash equivalent,LURASIDONE PEDIATRIC BIPOLAR STUDY,81927,0.59
Sunovion Pharmaceuticals Inc.,2017-12-22,Cash or cash equivalent,LURASIDONE PEDIATRIC BIPOLAR STUDY,81927,281.35
Sunovion Pharmaceuticals Inc.,2017-12-22,Cash or cash equivalent,LURASIDONE PEDIATRIC BIPOLAR STUDY,81927,11.23
Sunovion Pharmaceuticals Inc.,2017-12-22,Cash or cash equivalent,LURASIDONE PEDIATRIC BIPOLAR STUDY,81927,5.15
Allergan Inc.,2017-12-26,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,313
Allergan Inc.,2017-12-26,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,2500
Allergan Inc.,2017-12-26,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,250
Allergan Inc.,2017-12-26,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,9e3
"AbbVie, Inc.",2017-12-27,Cash or cash equivalent,M14-011,760719,975.16
"Janssen Research & Development, LLC",2017-12-29,Cash or cash equivalent,An Open-label Long-term Extension Safety Study of Intranasal Esketamine in Treatment-resistant Depression,322890,2817
Allergan Inc.,2017-12-31,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,662
Allergan Inc.,2017-12-31,Cash or cash equivalent,"A DOUBLE BLIND, PLACEBO- AND ACTIVE CONTROLLED EVALUATION OF THE SAFETY AND EFFICACY OF LEVOMILNACIPRAN ER IN ADOLESCENT PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,380
Allergan Inc.,2017-12-31,Cash or cash equivalent,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",81927,668
Allergan Inc.,2017-12-31,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,62
AstraZeneca Pharmaceuticals LP,2017-12-31,In-kind items and services,Affordability and Real world Antiplatelet Treatment Effectiveness After Myocardial Infarction Study Current patterns of P2Y12 receptor inhibitor use provide an excellent opportunity to test the impact of copayment reduction on clinician choice of medication patient adherence and clinical outcomes,1043167,9.22
"Aziyo Biologics, Inc.",2017-12-31,Cash or cash equivalent,Perform,312047,1949.45
Draegerwerk AG & Co. KGaA,2017-12-31,In-kind items and services,Comparing the Effectiveness of Lung Expansion Therapy in Adult Human Subjects,NA,20748
"NEUROPACE, INC.",2017-12-31,In-kind items and services,RNS System Long-term Treatment Clinical Investigation,164924,25950
"NEUROPACE, INC.",2017-12-31,In-kind items and services,RNS System Long-term Treatment Clinical Investigation,164924,25950
